SeriesId,SeriesName,NumEpisodes,Platform,FirstAired
1,Marvel's Agents of S.H.I.E.L.D,73,ABC,2013-09-24
2,Marvel's Agent Carter,18,ABC,2015-01-06
3,Marvel's Inhumans,8,ABC,2017-09-29
4,Marvel's Daredevil,26,Netflix,2013-4-10
5,Marvel's Jessica Jones,26,Netflix,2015-11-20
6,Marvel's Luke Cage,26,Netflix,2016-09-30
7,Marvel's Iron Fist,23,Netflix,2017-03-17
8,Marvel's The Defenders,8,Netflix,2017-08-18
9,Marvel's The Punisher,13,Netflix,2017-11-17
10,Marvel's Runaways,23,Hulu,2018-11-21
11,Marvel's Cloak & Dagger,10,Freeform,2018-06-07
